Unnamed: 0,questions,answers,similarity_score
263,What are the accepted width tolerances for flat stock?,"Flat stock will admit 10% not more than 1/16"" scant in widths 3"" and narrower and 1/8"" scant in widths over 3"".",0.9579667161583257
264,What is the maximum allowed divergence in grain for Bending Oak?,"The maximum allowed divergence in grain for Bending Oak is 1"" in 15"".",0.9357336246910194
265,"How much thicker should green lumber 1-1/4"" and thicker be sawn?","Green lumber 1-1/4"" and thicker should be sawn 1/8"" thicker than specified thickness.",0.910237164768191
266,What are considered defects in Bending Oak?,"Stain, bird packs, spot and pin room holes scattered or in clusters not less than 6"" apart with not more than three worm holes to the cluster are not considered defects.",0.9316913251408105
267,What are the requirements for the width and length of Bending Oak?,"The width should be 5"" and wider, and the length should be 6"" to 16"".",0.9204920223328494
268,"What is the clarity requirement for pieces 5"" wide and 6"" and 7"" long in Bending Oak?","Pieces 5"" wide and 6"" and 7"" long should be clear except for stated defects.",0.9278838719971338
269,"What additional conditions are acceptable for pieces 6"" and wider, 8"" and longer in Bending Oak?","In pieces 6"" and wider, 8"" and longer, six inches of split in one end or its aggregate equivalent in both ends is acceptable.",0.9278838719971338
270,What is the maximum allowed edge wear in Bending Oak?,"The maximum allowed edge wear is one-sixth the length and not over one-half the thickness of the piece, not exceeding certain widths depending on the thickness of the lumber.",0.9357336246910194
271,What is the standard defect allowance based on the length of the piece in Bending Oak?,"The standard defect allowance is one defect for lengths of 5' to 7', two defects for 8' to 11', three defects for 12' to 15', four defects for 16' to 19', and five defects for 20' and over.",0.9434446310555326
272,"What is the rule for splits in special widths sold 10"" or wider in Bending Oak?","In any series of special widths sold 10"" or wider, splits in excess of the equivalent of one standard defect shall not be admitted.",0.9007172631754494
273,How much side bend is considered a defect in Bending Oak based on the length of the piece?,"Unless otherwise specified, 1/2"" side bend in pieces 8' and 9' long, 3/4"" in pieces 10' to 12' long, and 1-1/4"" in pieces 13' to 16' long shall not be considered a defect.",0.9434446310555326
274,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
275,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
276,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
277,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
278,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.,1.0000000000000007
279,What is the natural range of Virginia pine?,Virginia pine is native to the southeastern United States.,0.9999999999999991
280,What type of soil does Virginia pine prefer?,"Virginia pine prefers well-drained, sandy or loamy soils.",1.0
281,Does Virginia pine have any specific pest or disease issues?,"Virginia pine may be susceptible to certain pests and diseases, including pine bark beetles and fusiform rust.",0.9968319416424236
282,Is Virginia pine a commercially valuable tree species?,"Yes, Virginia pine is commercially valuable for its lumber and pulpwood.",0.9894047826173984
283,What is the average lifespan of a Virginia pine tree?,The average lifespan of a Virginia pine tree is around 40 to 50 years.,0.9999989620015762
284,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
285,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
286,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
287,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,0.9999999999999984
288,What is the maximum length of splits allowed in a piece of timber?,Splits shall not exceed 12 inches in length in any one end or in the aggregate.,0.9330116535848998
289,What is the maximum length of end shake allowed in planking?,"End shake may be admitted in four annular ring growths, not to exceed one-half the length of the ring growth segment in which it appears.",0.9419381919731259
290,How much surface shake is allowed in boxed hearts?,Surface shake may be admitted up to one-sixth of the length of the piece in the aggregate.,0.929686067586603
291,What unsound defects are admitted in sound square edge timber?,"Unsound defects that do not seriously impair strength or prevent use of the piece for purposes of strength are admitted, such as pith, boxed or showing on the surfaces worm holes, occasional graph holes, and unsound knots or holes not extending through the pieces.",0.9088212626525506
292,What is the allowed tolerance for thickness and/or width in sound square edge timber?,The entire shipment may be up to 1 inch over in thickness and/or width and up to 3 inches over in length.,0.9088212626525506
293,What is wane and where is it allowed in sound square edge timber?,"Wane refers to the absence of wood on one or more corners. It is allowed on one or more corners, not exceeding one-third of the width or thickness, or it may extend across only one face.",0.8791368102770103
294,What is the purpose of an Original Inspection by a National Inspector?,An Original Inspection by a National Inspector is intended to protect the interests of buyers and sellers in lumber transactions.,0.9671970910011611
295,What should be stated in a contract of sale or purchase involving lumber?,It should be clearly stated in the contract that an Original Inspection by a National Inspector is to be binding on the parties.,0.9192452345025278
296,Who is responsible for applying for the Original Inspection?,The contract of sale should state whether the seller or the buyer is to apply for the Original Inspection.,0.934998759150683
297,Where can an Original Inspection be conducted?,The contract of sale should specify whether the inspection is to be made at point of origin or at destination.,0.9233582736893207
298,What is the time limit for applying for an Original Inspection?,The contract of sale should specify the time limit within which the application is to be made to the Association for the Original Inspection.,0.9005249282890028
299,How is the expense of the inspection usually divided between the buyer and seller?,The contract of sale should provide for the allocation of the expense of the inspection between the buyer and seller.,0.8828988124152635
300,What is a National Inspector forbidden to do in an Original Inspection?,"A National Inspector is forbidden from making an Original Inspection of a portion of a shipment after selections have been made therefrom, unless both seller and buyer agree.",0.8917083446634053
301,How does a National Inspector inspect and measure lumber?,A National Inspector will inspect and measure lumber according to 'Standard Inspection' and 'General Instructions' as provided by the rules.,0.94481808060173
302,What happens after an Original Inspection is completed?,The National Inspector will cause the inspected lumber to be placed down.,0.9070930603832349
303,What association provides the rules and regulations for National Inspections?,The National Hardwood Lumber Association provides the rules and regulations for National Inspections.,0.8841886761219154
304,What is the purpose of the National Hardwood Lumber Association Sales Code?,The purpose of the National Hardwood Lumber Association Sales Code is to establish uniform practices in the conduct of transactions involving the sale and purchase of hardwood lumber.,0.9999999999999988
305,When does the Financial Guarantee not apply on lumber?,The Financial Guarantee does not apply on lumber that has been dressed or worked after completion of the Original Inspection.,0.9192055199698572
306,What conditions need to be complied with for the Financial Guarantee to apply on kiln dried lumber?,"The Financial Guarantee applies on lumber kiln dried in transit after the Original Inspection has been completed, only when all of the conditions of Section 11 of Original Inspection Regulations have been complied with.",0.9445204189268329
307,What does the Association assume no liability for during the Official Re-inspection?,"The Association assumes no liability for any shortage in measurement, scant thickness, or proper kiln drying.",0.8581029867396379
308,What does the Official Re-inspection consider when tallying and grading the lumber?,The Official Re-inspection will tally and grade based on the measurement marked on the boards before kiln drying and will consider only the nominal thickness.,0.8991113411551785
309,What are some characteristics and features of the sales code?,"The sales code defines in plain terms the approved customs and practices of the trade, provides regulations for elements not covered by established customs, and offers means for dispute settlement without litigation.",0.9072890164185863
310,When does the National Hardwood Lumber Association Sales Code become binding?,The National Hardwood Lumber Association Sales Code becomes binding between buyer and seller only when it is specifically stated in the contract that it shall govern.,0.9681089018879518
311,What is the purpose of growing Virginia pine in the southern states?,Virginia pine is often grown for Christmas trees in the southern states.,0.9988421247820171
312,What is the height range of mature Virginia pine trees?,Mature Virginia pine trees grow to a height of 40 to 60 feet.,0.9779560340852015
313,What is the diameter range of mature Virginia pine trees?,Mature Virginia pine trees attain a diameter of 1 to 1.5 feet.,0.9952209014353446
314,What is a Lark Pocket?,A Lark Pocket is a bark-filled blemish in the board.,0.8148389716337954
315,What is a Bird Peck?,A Bird Peck is a patch of distorted grain resulting from birds pecking through the growing cells in the tree and sometimes containing a hole and/or ingrown bark.,0.9397932746735197
316,What is a Boxed Heart?,A Boxed Heart is the term used when the path falls entirely within the four faces of a piece of wood anywhere in its length.,0.8568379573841177
317,What is a Burl?,A Burl is a swirl or twist in the grain of the wood which usually occurs near a knot but does not contain a knot. Those containing sound centers are admitted in the cuttings except when otherwise specified.,0.7919536779036289
318,What is a Check?,A Check is a lengthwise separation of the wood that usually extends across the rings of annual growth and commonly results from stresses set up in wood during scanning.,0.8691800039609023
319,What is a Cup?,A Cup is a distortion of a board in which there is a deviation flarwise from a straight line across the width of the board.,0.878886389202099
320,What is a Cutting?,"A Cutting is a portion of a board or plank obtained by cross-curring or ripping, or by both. In the Common grades, a cutting shall be flat enough so surface two sides to standard surfaces different it has been removed from the board. In the grades of Selects and Betes, the entire board must be flat enough to surface two sides to standard surfaced thickness (for skip limitations, see page 58 under the rule 'Clear-Face' Cutting Grade). Diagonal curtings are not permitted.",0.9134099478599699
321,What is a Clear-Face Cutting?,A Clear-Face Cutting is a cutting having one clear face (ordinary season checks are admitted) and the reverse side sound as defined in Sound Cutting. The clear face of the cutting shall be on the poor side of the board except when otherwise specified.,0.980054608871247
322,What is a Sound Cutting?,"A Sound Cutting is a cutting free from rot, pitch, shake and wane. Texture is not considered. It will admit sound knos, bird pecka, stain, sneaka or their",0.9880455628212094
323,,,0.7756296665644062
324,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
325,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
326,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
327,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
328,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.,1.0000000000000007
329,Where is Virginia pine commonly found?,Virginia pine is commonly found in the southeastern United States.,0.9999989380079968
330,What type of soil does Virginia pine prefer?,"Virginia pine prefers well-drained, acidic soils.",1.0
331,What is the average lifespan of a Virginia pine tree?,The average lifespan of a Virginia pine tree is around 50 years.,0.9999989620015762
332,What is the wood of Virginia pine commonly used for?,"The wood of Virginia pine is commonly used for lumber, plywood, and pulpwood.",0.9720857835420356
333,Is Virginia pine a common species for reforestation efforts?,"Yes, Virginia pine is commonly used in reforestation projects.",0.9345686109646745
334,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
335,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
336,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
337,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
338,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.,0.9999981087690273
339,What is the range of Virginia pine?,"Virginia pine is native to the United States, particularly in the southeastern states.",0.9761655081503349
340,Does Virginia pine prefer sunny or shaded areas?,Virginia pine prefers sunny areas and is intolerant of shade.,0.9443102649277728
341,What is the average lifespan of Virginia pine?,The average lifespan of Virginia pine is approximately 60 to 90 years.,0.9999999999999992
342,What type of wood does Virginia pine have?,Virginia pine has a hard wood that is often used for lumber and pulpwood.,0.9706966608868698
343,Is Virginia pine a fast-growing species?,"No, Virginia pine has a moderate growth rate.",0.9900099594673013
344,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
345,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
346,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
347,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
348,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.,1.0000000000000007
349,What is the average lifespan of a Virginia pine tree?,The average lifespan of a Virginia pine tree is around 40 to 50 years.,0.999998495857663
350,Is Virginia pine a native tree species in the United States?,"Yes, Virginia pine is a native tree species in the United States.",0.9925859627418588
351,What is the preferred soil type for Virginia pine?,"Virginia pine prefers well-drained, acidic soils.",0.9817387627948237
352,Does Virginia pine have any economic or commercial uses?,"Yes, Virginia pine is used for lumber, interior paneling, and pulpwood production.",0.9712227172634658
353,What is the natural range of Virginia pine?,The natural range of Virginia pine extends from coastal Virginia to eastern Texas.,0.9999999999999991
354,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
355,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
356,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
357,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
358,What is the scientific name for Virginia pine?,The scientific name for Virginia pine is Pinus virginiana.,1.0000000000000004
359,What type of soil does Virginia pine prefer?,Virginia pine prefers sandy or coarse soils.,1.0
360,Is Virginia pine a native species to the United States?,"Yes, Virginia pine is native to the United States.",0.9925859627418588
361,What is the average lifespan of Virginia pine?,The average lifespan of Virginia pine is 50 to 75 years.,0.9999999999999992
362,What is the range of Virginia pine in terms of elevation?,"Virginia pine can be found at elevations ranging from sea level to 3,500 feet.",0.9697757609497009
363,Is Virginia pine commonly used for lumber?,"No, Virginia pine is generally not used for lumber due to its small size and lower quality wood.",0.95352040898312
364,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
365,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
366,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
367,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,0.9999999999999984
368,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.,1.0000000000000007
369,What is the natural range of Virginia pine?,The natural range of Virginia pine extends from New Jersey to Florida and westward to eastern Texas.,0.9999999999999991
370,In what type of soil does Virginia pine prefer to grow?,"Virginia pine prefers to grow in well-drained, sandy or loamy soils.",0.99034602789944
371,What is the average lifespan of Virginia pine?,The average lifespan of Virginia pine is around 50 to 75 years.,0.9999999999999992
372,What is the primary use of Virginia pine wood?,"The primary use of Virginia pine wood is for construction, including lumber and plywood.",1.0000000000000009
373,Is Virginia pine a native species of North America?,"Yes, Virginia pine is a native species of North America.",1.0000000000000016
374,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
375,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
376,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
377,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
378,What are some common uses of Virginia pine wood?,"Virginia pine wood is commonly used for construction, furniture, and paneling.",0.9999999999999998
379,Is Virginia pine a commercially important tree species?,"Yes, Virginia pine is commercially important for its timber and Christmas tree production.",0.9894047826173984
380,Which states are known to have significant populations of Virginia pine?,"Virginia pine can be found in the southern and eastern states, including Virginia, North Carolina, and Georgia.",0.9251823285003832
381,What type of soil does Virginia pine prefer?,Virginia pine prefers well-drained sandy or loamy soils.,1.0
382,What is the lifespan of Virginia pine?,Virginia pine can live up to 60 years.,0.9999981234622781
383,Does Virginia pine have any specific pest or disease problems?,Virginia pine is susceptible to pine bark beetles and fusiform rust disease.,0.9968319416424236
384,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
385,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
386,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
387,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
388,Where is the Universita di Roma located?,"The Universita di Roma is located in Rome, Italy.",0.903999400575817
389,What is the address of the Dipartimento di Fisica at Universita di Roma?,"The address of the Dipartimento di Fisica at Universita di Roma is P.le Aldo Moro 2, 00185 Roma, Italy.",0.9456938205511438
390,What is the main research field of the Dipartimento di Fisica at Universita di Roma?,The main research field of the Dipartimento di Fisica at Universita di Roma is physics.,0.92122725211537
391,What city is the Dipartimento di Fisica located in?,"The Dipartimento di Fisica is located in Rome, Italy.",0.9204952752333289
392,What is the full name of the university in Rome?,The full name of the university in Rome is Universita di Roma 'La Sapienza'.,0.8923800189565896
393,What is the zip code of the Dipartimento di Fisica at Universita di Roma?,The zip code of the Dipartimento di Fisica at Universita di Roma is 00185.,0.9456938205511438
394,What is the National Hardwood Lumber Association?,"The National Hardwood Lumber Association is an organization based in Memphis, TN that represents the hardwood lumber industry in the United States.",0.9644423432265443
395,What is the address of the National Hardwood Lumber Association?,"The address of the National Hardwood Lumber Association is PO Box 34518, Memphis, TN 38184-0518, USA.",0.9645749224723437
396,What does the National Hardwood Lumber Association do?,"The National Hardwood Lumber Association serves as a resource for the hardwood lumber industry, providing information, support, and representation for its members.",0.9644423432265443
397,Where is the headquarters of the National Hardwood Lumber Association?,"The headquarters of the National Hardwood Lumber Association is located in Memphis, TN.",0.9726876341369947
398,What does the acronym NHLA stand for?,NHLA stands for National Hardwood Lumber Association.,0.9805875673124691
399,What industry does the National Hardwood Lumber Association represent?,The National Hardwood Lumber Association represents the hardwood lumber industry.,0.9538198672043383
400,What is the website of the National Hardwood Lumber Association?,The website of the National Hardwood Lumber Association is www.nhls.com.,0.9637442586052546
401,What services does the National Hardwood Lumber Association provide to its members?,"The National Hardwood Lumber Association provides information, support, and representation to its members in the hardwood lumber industry.",0.9622884776881302
402,Who can become a member of the National Hardwood Lumber Association?,Any individual or company involved in the hardwood lumber industry can become a member of the National Hardwood Lumber Association.,0.9376564827864546
403,What is the mission of the National Hardwood Lumber Association?,"The mission of the National Hardwood Lumber Association is to represent, advocate, and serve the hardwood lumber industry.",0.9629515179192715
404,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
405,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
406,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
407,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
408,What is the National Inspection Service for hardwoods?,The National Inspection Service is a regulatory body for hardwoods used in construction.,0.9197734238753557
409,What are the original National Inspection Regulations?,The original National Inspection Regulations are guidelines for inspecting hardwoods used in construction.,0.8954647792095515
410,What is the NHLA Sales Code?,The NHLA Sales Code is a set of standards and regulations for the hardwood industry.,0.9095956677819175
411,What is the metric conversion table used for?,The metric conversion table is used to convert measurements from imperial to metric units in the hardwood industry.,0.8047696612853164
412,What is the index of woods?,The index of woods is a directory of different wood species used in construction.,0.8462427493099718
413,What is the purpose of the miscellaneous index?,The miscellaneous index contains additional information and references related to the hardwood industry.,0.817459789585903
414,What are the rules for inspecting lumber?,Lumber shall be inspected according to specified rules unless otherwise stated.,0.9394141559366611
415,When are the rules under Special Combined & Face Gards applied?,The rules under Special Combined & Face Gards are applied only when specified in the contract between buyer and seller.,0.8321272571829005
416,Can the rules under Standard Inspection and Special Inspection be applied to contracts with different grade names?,"No, the rules under Standard Inspection and Special Inspection cannot be applied to contracts with grade names different from those listed herein, except by special agreement between buyer and seller.",0.865835361672352
417,Are there any exceptions to the General Instructions and Standard Guards?,"Yes, exceptions are stated under the respective special and grade captions.",0.8321272571829005
418,How should lumber be inspected and measured?,"Lumber should be inspected and measured in full length, width, and thickness. No allowance should be made for the purpose of raising the grade, except for defects that can be removed by surfacing to standard soap thickness.",0.9999999999999998
419,What determines the surface grade of lumber?,The surface grade of lumber is determined by the curting yield established by the inspector.,0.9885652898869165
420,Does the thickness of lumber determine its grade?,"No, thickness does not determine the grade of lumber.",0.922292988224366
421,How is the poor side of a piece of lumber determined?,"The poor side of a piece of lumber is determined by the side with the lower grade, or if both sides have the same grade, it is determined by the side with the least number of cutting units.",0.8713361874899523
422,Should the reverse side of a board be considered for grade determination?,"Yes, after determining the poor side of a board, the reverse side should be considered for soundness.",0.8736012929573147
423,What special features are considered after determining grade and thickness of lumber?,Special features such as the amount of forty-five degree radial grain for classification as quarter seven lumber and the amount of figure for specified woods are considered.,0.9073784090946007
424,What is the study of the evolution of the universe?,The study of the evolution of the universe is a very important subject of research.,0.9380218409262864
425,Why is the study of the evolution of the universe important?,"The study of the evolution of the universe is important because it helps us understand the origins and development of galaxies, stars, and planets.",0.9319244409606849
426,What are some key areas of research in the study of the evolution of the universe?,"Some key areas of research in the study of the evolution of the universe include cosmology, astrophysics, and observational astronomy.",0.9380218409262864
427,What is cosmology?,"Cosmology is the scientific study of the universe as a whole, including its origins, structure, evolution, and ultimate fate.",0.9303994858348555
428,What is astrophysics?,"Astrophysics is the branch of astronomy that deals with the physics of celestial objects, including their behavior, composition, and interactions.",0.9303994858348555
429,What is observational astronomy?,Observational astronomy is the branch of astronomy that focuses on observing celestial objects and phenomena using telescopes and other instruments.,0.8979344186274225
430,How do scientists study the evolution of the universe?,"Scientists study the evolution of the universe through observations of distant objects, cosmic microwave background radiation, and the analysis of data from space missions and telescopes.",0.9378349323108075
431,What is cosmic microwave background radiation?,Cosmic microwave background radiation is the residual radiation left over from the Big Bang and is considered the oldest light in the universe.,0.866061619282118
432,What can the analysis of data from space missions and telescopes reveal about the evolution of the universe?,"The analysis of data from space missions and telescopes can reveal information about the composition, structure, and behavior of galaxies, stars, and other celestial objects, which in turn, provides insights into the evolution of the universe.",0.9058758455665175
433,What are some current theories about the evolution of the universe?,"Some current theories about the evolution of the universe include the Big Bang theory, inflationary theory, and the theory of dark matter and dark energy.",0.9222011681155311
434,How can you determine the average length of a number?,"To determine the average length of a number, multiply the number of pieces by their length, which will give the total lineal footage, and divide the result by the total number of pieces.",0.9797668773139071
435,What is the formula for determining the average diameter of a knot or hole?,"To determine the average diameter of a knot or hole, add the maximum length and maximum width and divide by two.",0.9643684140474985
436,How do you calculate the amount of thin linker obtained by removing a piece of various thicknesses?,"To calculate the amount of thin linker obtained by removing a piece of various thicknesses, multiply the original surface measure by 2 for 344 reason once, by 2 for 644 reason once, by 3 for reason twice, and by 4 for 344 reason twice.",0.9363672153144269
437,What should be done when pieces are sold as rack and obtained from a different brand?,"When pieces are sold as rack and obtained from a different brand, they should be kept together, inspected as a single surface, and counted as one piece.",0.8538042342231951
438,What should be done when pieces are not kept together and cannot be inspected as one piece?,"When pieces are not kept together and cannot be inspected as one piece, each piece must be individually inspected and counted.",0.8648637071175422
439,What do you divide the total footage by to determine the average length?,You divide the total footage by the total number of pieces to determine the average length.,0.883628563981245
440,How do you calculate the average length of a number?,"You multiply the number of pieces by their length to get the total lineal footage, and then divide by the total number of pieces.",0.9797668773139071
441,What do you add to calculate the average diameter of a knot or hole?,"You add the maximum length and maximum width of the knot or hole, and then divide by two to calculate the average diameter.",0.9643684140474985
442,What is the formula for determining the amount of thin linker?,The formula for determining the amount of thin linker is based on the original surface measure and varies depending on the thickness and quantity of the pieces.,0.9363672153144269
443,What should be agreed upon between the buyer and seller before inspecting pieces individually?,The buyer and seller should agree on the basis of the inspection and the condition of the transfer before inspecting pieces individually.,0.8781258623980049
444,What are the grading requirements for FAS?,"The grading requirements for FAS state that the wood shall grade not below FAS on the better face for the particular species, and not below No. 1 Common on the reverse side.",0.999998334699939
445,What is the limit for wane on the No. 1 Common side?,"On the No. 1 Common side, the width of wane from both edges cannot exceed 1/3 the total width of the pierc, and the total length of wane on either edge cannot exceed 1/2 the length.",0.9394926573608355
446,What is the width requirement for pieces graded as FAS?,"The width for pieces graded as FAS should be 4"" and wider.",0.9674559044024
447,What is the length requirement for pieces graded as FAS?,"The length for pieces graded as FAS should be 6"" to 16"".",0.9674559044024
448,What is the grading requirement for SELECTS?,SELECTS admits pieces of 2' and 3' surface measure that will yield 100% or 11/12 (91-2/3%) clear in one cutting on the better face with the reverse side of the board grading not below No. 1 Common. It also admits pieces of 4' and over surface measure that will grade FAS on the better face with the reverse side of the board grading not below No. 1 Common.,0.992155593756274
449,"What is the limit for wane on the No. 1 Common side for pieces 6"" and wider?","For pieces 6"" and wider, the width of wane from both edges cannot exceed 1/3 the total width of the pierc, and the total length of wane on either edge cannot exceed 1/2 the length.",0.9394926573608355
450,"What is the limit for wane on the faces of pieces 4"" and 5"" wider?","For pieces 4"" and 5"" wider, the width of wane from both edges cannot exceed 1/3 the total width of the pierc, and the total length of wane on both edges cannot exceed 1/2 the length.",0.9301694025987959
451,What is the width requirement for pieces graded as No. 1 Common?,"The width for pieces graded as No. 1 Common should be 3"" and wider, admitting 53% of 3"" widths.",0.9739294939424088
452,What is the length requirement for pieces graded as No. 1 Common?,"The length for pieces graded as No. 1 Common should be 4"" to 16"".",0.9739294939424088
453,What is the grading requirement for the better face of FAS?,The grading requirements for FAS apply to the better face of the piece.,0.947885964843499
454,"What is the standard grade for F1F, SELECTS, NO. 1 COMMON, NO. 2A COMMON, NO. 2B COMMON, NO. 3A COMMON, NO. 3B COMMON?",The standard grade is Standard.,0.9567696289232872
455,"What is the width requirement for pieces in FAS grade that are 4"" and wider?","Pieces that are 4"" and wider in FAS grade should cut 11/12 (91-2/3%) clear face in one cutting.",0.9593640507648471
456,"What is the standard for NO. 3A COMMON grade, except for what?","The standard for NO. 3A COMMON grade is to be sound as defined in 'Sound Curting', except for curings.",0.9634413940085662
457,What is the standard for NO. 3B COMMON grade?,The standard for NO. 3B COMMON grade is Standard.,0.9634413940085662
458,What is the average diameter advertised in No. 2A COMMON and Better?,"The average diameter advertised in No. 2A COMMON and Better is 38"".",0.8754423214070555
459,Will a National Hardwood Lawlor-Austrian Injector differentiate between Hickory and Pecan?,"No, a National Hardwood Lawlor-Austrian Injector will not make any differentiation in specific factors between Hickory and Pecan.",0.83077843978029
460,"What grade applies for Cabinet Rock Elm, Cabinet Hickory, and Cabinet Pecan (When Specified)?",Standard grades apply in all respects.,0.8683568503983861
461,"What are the standard grades for Red Oak, White Oak, and Locust [Plain Sawn]?","The standard grades are FAS, F1F, SELECTS, NO. 1 COMMON, NO. 2A COMMON, NO. 3A COMMON, SOUND WORMY, NO. 2B COMMON, and NO. 3B COMMON.",0.9370514073313674
462,"What will reduce a piece out grade in Plain Sawn Red Oak, White Oak, and Locust?","Winwand struck and shats, and struck and spats of similar entrance, exceeding in aggregate area 11/12 the total area of the required cutting, will reduce a piece out grade.",0.9153220963748867
463,What is the limitation in better face for F1F and Selcen grades?,Limitanaw applies in better face only for F1F and Selcen grades.,0.8683365400268043
464,"What is specified as ""Scanned Walnut""?","When Walnut has been stamed and is solid and specified as ""Scanned Walnut,"" approach shall not be considered.",0.8496392115486369
465,What are the minimum curing dimensions for FAS grade walnut?,"The minimum curing dimensions for FAS grade walnut are 4"" wide by 3' long, or 3"" wide by 6' long.",0.9442823363564667
466,What is the maximum allowable sapwood on FAS grade walnut?,"Pieces 5"", 6"", and 7"" wide admit sapwood on either or both faces which does not exceed in the aggregate one-sixth the width of the piece; 8"" and wider admit sapwood on either or both faces which does not exceed in the aggregate one-fourth the width of the piece.",0.9231521566152421
467,"What is the requirement for clear face in two-curings for FAS grade walnut pieces of 3' to 3"" surface measure?","Pieces of 3' to 3"" surface measure in FAS grade walnut shall yield 10/12 (83-1/3%) clear face in two-curings.",0.9082198115503693
468,"What is the grading basis for FAS grade walnut in lengths of 6' and 7""?","FAS grade walnut in lengths of 6' and 7"" is graded on a Standard Defect basis listed on page 29.",0.9170967810855997
469,What length of FAS grade walnut pieces allows the admission of wave along the edges?,"FAS grade walnut pieces of 6' and 7"" long allow the admission of wave along the edges not exceeding in the aggregate one-sixth the length of the piece, or its equivalent at one end or both ends.",0.9089895188945681
470,"What defects are allowed in FAS grade walnut pieces of 5"", 6"", and 7"" wide?","FAS grade walnut pieces of 5"", 6"", and 7"" wide admit one standard defect.",0.9321427905516663
